u,v,highway,length
25503936,4722746638,motorway_link,32.388
25503936,281726624,motorway_link,223.005
25503951,1243857957,motorway_link,112.268
25503951,4507024043,motorway_link,191.892
25504027,1243857999,motorway_link,118.915
25504163,25504183,trunk,77.19
25504183,2486710630,trunk,272.903
25507552,413275483,motorway,560.14
25507552,409114759,motorway_link,283.215
25507559,1731168926,motorway,321.704
25507559,413301102,motorway_link,174.739
25507576,787318148,motorway,273.115
25507576,4753795450,motorway_link,142.881
25507581,787318149,motorway,60.465
25507582,114310699,motorway_link,307.462
25507582,314545211,motorway,239.09
25507591,4685582565,motorway,172.699
25507594,25507600,motorway,211.189
25620516,25620518,residential,63.916
25620516,1386051842,residential,191.076
25620518,2852022741,residential,111.654
25620570,1106006327,residential,303.116
25620570,25632376,residential,202.158
25620653,4685392598,secondary,45.67
25620653,25620570,residential,67.076
25620737,1386051849,secondary,13.609
25620737,25620947,residential,86.227
25620737,10916713063,residential,28.06
25620743,9764806876,secondary,4.023
25620743,25620737,secondary,73.488
25620747,25620743,secondary,29.195
25620747,25632422,secondary,156.672
25620759,1676280555,residential,102.712
25620947,25620948,residential,107.291
25620948,1386051854,residential,84.355
25620960,137873037,living_street,129.505
25620960,3554720424,secondary,50.776
25620960,25620947,residential,132.131
25632226,25632227,tertiary,108.856
25632226,25632228,residential,172.488
25632227,25632361,tertiary,113.207
25632227,25632231,residential,192.009
25632228,25632229,residential,95.325
25632228,1422563112,residential,74.55
25632229,25632362,residential,178.914
25632229,25632230,residential,174.403
25632230,25632226,tertiary,120.037
25632230,2414401915,tertiary,105.069
25632231,25632228,residential,51.204
25632231,2250887839,residential,31.573
25632278,25632279,residential,29.581
25632278,25632292,residential,377.184
25632279,25632226,residential,385.203
25632284,25632285,secondary,480.519
25632284,5284385982,residential,23.911
25632285,25632293,secondary,48.457
25632292,25632278,residential,377.184
25632292,25632293,residential,103.903
25632293,1110698273,secondary,107.737
25632293,25620653,secondary,110.456
25632361,25632227,tertiary,113.207
25632361,4612022469,tertiary,249.655
25632361,25632279,residential,238.423
25632362,128677717,secondary,135.417
25632362,1874214575,secondary,73.163
25632363,2250794621,secondary,26.365
25632363,1684865542,secondary,26.373
25632367,25620518,residential,86.14
25632368,25632367,residential,84.053
25632368,1684844512,residential,132.715
25632372,475052386,residential,98.01
25632372,1417603317,residential,47.695
25632375,7056419949,secondary,106.283
25632375,5284368076,residential,155.873
25632375,1209790928,secondary,51.324
25632376,2893310955,secondary,160.78
25632398,2204099938,secondary,102.957
25632398,2204100015,secondary,138.499
25632399,6405838291,residential,80.424
25632399,25632398,residential,58.464
25632400,25632401,secondary,101.356
25632401,25632402,residential,56.049
25632401,25632419,secondary,106.439
25632402,1278184346,residential,114.707
25632411,25632398,tertiary,207.181
25632411,25632412,tertiary,172.689
25632412,25632433,secondary,81.548
25632412,129553875,tertiary,196.165
25632419,452682265,secondary,100.899
25632422,3130312338,tertiary,14.884
25632422,2242805402,secondary,163.209
25632423,25632424,tertiary,122.133
25632423,25632426,secondary,253.188
25632424,25632411,tertiary,47.207
25632424,25632433,residential,199.791
25632425,25632411,tertiary,266.747
25632425,25632426,residential,92.541
25632426,411909880,secondary,140.215
25632426,25632427,residential,137.12
25632427,1043000761,residential,141.555
25632427,25632466,residential,88.942
25632428,25632423,tertiary,91.567
25632428,25632427,residential,249.616
25632429,25632428,tertiary,84.382
25632429,126647309,tertiary,65.407
25632432,25632423,secondary,225.829
25632432,25632438,secondary,15.265
25632433,25632432,secondary,94.252
25632438,25632432,secondary,15.265
