osmid,y,x,street_count,highway,ref,geometry
25503936,41.1660713,-8.6406364,3,,,POINT (-8.6406364 41.1660713)
25503951,41.168347,-8.6420446,3,,,POINT (-8.6420446 41.168347)
25504027,41.1668853,-8.6415867,3,,,POINT (-8.6415867 41.1668853)
25504163,41.1742319,-8.6224058,3,,,POINT (-8.6224058 41.1742319)
25504183,41.1749254,-8.6224443,3,,,POINT (-8.6224443 41.1749254)
25507552,41.166241,-8.5835683,3,motorway_junction,,POINT (-8.5835683 41.166241)
25507559,41.1626066,-8.5810576,3,motorway_junction,,POINT (-8.5810576 41.1626066)
25507576,41.1541532,-8.5825433,3,motorway_junction,,POINT (-8.5825433 41.1541532)
25507581,41.1520755,-8.5801756,3,,,POINT (-8.5801756 41.1520755)
25507582,41.1513862,-8.5797087,3,motorway_junction,5,POINT (-8.5797087 41.1513862)
25507591,41.1483683,-8.5793775,3,,,POINT (-8.5793775 41.1483683)
25507594,41.1472516,-8.580636,3,,,POINT (-8.580636 41.1472516)
25507600,41.1454215,-8.5811733,3,,,POINT (-8.5811733 41.1454215)
25620516,41.1499575,-8.6140445,3,,,POINT (-8.6140445 41.1499575)
25620518,41.1499243,-8.6148066,3,,,POINT (-8.6148066 41.1499243)
25620570,41.152994,-8.6120177,3,,,POINT (-8.6120177 41.152994)
25620653,41.153597,-8.6119957,3,,,POINT (-8.6119957 41.153597)
25620737,41.1479515,-8.6121592,4,traffic_signals,,POINT (-8.6121592 41.1479515)
25620743,41.147888,-8.6112856,4,,,POINT (-8.6112856 41.147888)
25620747,41.1478426,-8.6109422,4,,,POINT (-8.6109422 41.1478426)
25620759,41.1488008,-8.6121386,3,,,POINT (-8.6121386 41.1488008)
25620947,41.1471763,-8.6121861,3,,,POINT (-8.6121861 41.1471763)
25620948,41.1475478,-8.6133682,4,,,POINT (-8.6133682 41.1475478)
25620960,41.1459904,-8.6122352,4,,,POINT (-8.6122352 41.1459904)
25632226,41.1507093,-8.6210997,4,,,POINT (-8.6210997 41.1507093)
25632227,41.1516791,-8.6212767,3,,,POINT (-8.6212767 41.1516791)
25632228,41.1502192,-8.6230542,4,,,POINT (-8.6230542 41.1502192)
25632229,41.1493674,-8.6229257,3,,,POINT (-8.6229257 41.1493674)
25632230,41.1496431,-8.6208752,4,,,POINT (-8.6208752 41.1496431)
25632231,41.1506749,-8.6231422,3,,,POINT (-8.6231422 41.1506749)
25632278,41.1524856,-8.6180691,3,,,POINT (-8.6180691 41.1524856)
25632279,41.1522349,-8.6179509,3,,,POINT (-8.6179509 41.1522349)
25632284,41.1551988,-8.6188807,4,,,POINT (-8.6188807 41.1551988)
25632285,41.1541642,-8.6133083,3,,,POINT (-8.6133083 41.1541642)
25632292,41.1528719,-8.6135935,3,,,POINT (-8.6135935 41.1528719)
25632293,41.1537385,-8.6132636,4,,,POINT (-8.6132636 41.1537385)
25632361,41.1526088,-8.6207549,4,,,POINT (-8.6207549 41.1526088)
25632362,41.1477705,-8.6226639,3,,,POINT (-8.6226639 41.1477705)
25632363,41.1474495,-8.6203514,3,traffic_signals,,POINT (-8.6203514 41.1474495)
25632367,41.1491595,-8.6149639,3,,,POINT (-8.6149639 41.1491595)
25632368,41.1485969,-8.6156082,3,crossing,,POINT (-8.6156082 41.1485969)
25632372,41.1529176,-8.6240719,3,,,POINT (-8.6240719 41.1529176)
25632375,41.1551976,-8.6100477,4,,,POINT (-8.6100477 41.1551976)
25632376,41.1518487,-8.6101425,4,,,POINT (-8.6101425 41.1518487)
25632398,41.1509597,-8.6067219,4,,,POINT (-8.6067219 41.1509597)
25632399,41.1511073,-8.6073894,3,,,POINT (-8.6073894 41.1511073)
25632400,41.1502271,-8.6077498,3,,,POINT (-8.6077498 41.1502271)
25632401,41.1504849,-8.6089109,4,,,POINT (-8.6089109 41.1504849)
25632402,41.1501627,-8.6094208,3,,,POINT (-8.6094208 41.1501627)
25632411,41.1509449,-8.6042501,4,,,POINT (-8.6042501 41.1509449)
25632412,41.1493955,-8.6041093,4,traffic_signals,,POINT (-8.6041093 41.1493955)
25632419,41.1508997,-8.6099839,3,,,POINT (-8.6099839 41.1508997)
25632422,41.1491992,-8.6104496,4,,,POINT (-8.6104496 41.1491992)
25632423,41.1510098,-8.6022297,4,,,POINT (-8.6022297 41.1510098)
25632424,41.1509525,-8.6036864,3,,,POINT (-8.6036864 41.1509525)
25632425,41.1532611,-8.6035241,3,,,POINT (-8.6035241 41.1532611)
