Result,Average_Pvalue,H0avr,Number_of_rows
regionAndHour_1_1_0_Y=4,0.999940747580524,True,139
regionAndHour_1_1_1_Y=4,0.9999662408050544,True,126
regionAndHour_1_1_2_Y=4,0.9999999875823564,True,87
regionAndHour_1_1_3_Y=4,0.9993314319091946,True,112
regionAndHour_1_1_4_Y=4,0.999999971367616,True,184
regionAndHour_1_1_5_Y=4,0.9999999991712227,True,109
regionAndHour_1_1_6_Y=4,0.9999997083250797,True,177
regionAndHour_1_1_7_Y=4,0.9999996438798544,True,129
regionAndHour_1_1_8_Y=4,1.0,True,86
regionAndHour_1_1_9_Y=4,0.9999999935159707,True,146
regionAndHour_1_1_10_Y=4,0.9999997744257311,True,188
regionAndHour_1_1_11_Y=4,0.9999997134678704,True,216
regionAndHour_1_1_12_Y=4,0.9999992605316671,True,87
regionAndHour_1_1_13_Y=4,0.9999999806425439,True,181
regionAndHour_1_1_14_Y=4,0.9999999999990925,True,199
regionAndHour_1_1_15_Y=4,0.9999984449486349,True,251
regionAndHour_1_1_16_Y=4,0.9999991272806583,True,205
regionAndHour_1_1_17_Y=4,0.9999999502574282,True,138
regionAndHour_1_1_18_Y=4,0.9999999282219203,True,242
regionAndHour_1_1_19_Y=4,0.9999999771014666,True,143
regionAndHour_1_1_20_Y=4,0.999811340324607,True,124
regionAndHour_1_1_21_Y=4,0.999665990690416,True,115
regionAndHour_1_1_22_Y=4,1.0,True,217
regionAndHour_1_1_23_Y=4,0.9999999920203446,True,212
regionAndHour_1_2_0_Y=4,0.9997273382837268,True,1000
regionAndHour_1_2_1_Y=4,0.9999574890626103,True,1000
regionAndHour_1_2_2_Y=4,0.9999998995463488,True,1000
regionAndHour_1_2_3_Y=4,0.9999882186035975,True,1000
regionAndHour_1_2_4_Y=4,0.9999673132124745,True,1000
regionAndHour_1_2_5_Y=4,0.9999647586964038,True,1000
regionAndHour_1_2_6_Y=4,0.999994412897686,True,1000
regionAndHour_1_2_7_Y=4,0.9999804188766522,True,1000
regionAndHour_1_2_8_Y=4,0.9999970481316198,True,1000
regionAndHour_1_2_9_Y=4,0.9999991500410798,True,1000
regionAndHour_1_2_10_Y=4,0.9999999487347919,True,1000
regionAndHour_1_2_11_Y=4,0.9999293639767876,True,1000
regionAndHour_1_2_12_Y=4,0.9945267528026516,True,1000
regionAndHour_1_2_13_Y=4,0.9999975954140297,True,1000
regionAndHour_1_2_14_Y=4,0.9998599595877948,True,1000
regionAndHour_1_2_15_Y=4,0.9999916965741319,True,1000
regionAndHour_1_2_16_Y=4,0.9999978271071012,True,1000
regionAndHour_1_2_17_Y=4,0.9999959745252389,True,1000
regionAndHour_1_2_18_Y=4,0.999999338898819,True,1000
regionAndHour_1_2_19_Y=4,0.992354566980935,True,1000
regionAndHour_1_2_20_Y=4,0.9999901030597274,True,1000
regionAndHour_1_2_21_Y=4,0.9999247891882243,True,1000
regionAndHour_1_2_22_Y=4,0.9999999953886766,True,1000
regionAndHour_1_2_23_Y=4,0.999949233807765,True,1000
regionAndHour_1_3_0_Y=4,0.985051373786918,True,1000
regionAndHour_1_3_1_Y=4,0.9913486128345086,True,1000
regionAndHour_1_3_2_Y=4,0.9917944432885927,True,1000
regionAndHour_1_3_3_Y=4,0.9933957870428872,True,1000
regionAndHour_1_3_4_Y=4,0.9997067975241782,True,1000
regionAndHour_1_3_5_Y=4,0.9979047660549002,True,1000
regionAndHour_1_3_6_Y=4,0.9999525096516211,True,1000
regionAndHour_1_3_7_Y=4,0.9979169688966655,True,1000
regionAndHour_1_3_8_Y=4,0.9981506142672945,True,1000
regionAndHour_1_3_9_Y=4,0.999363019841066,True,1000
regionAndHour_1_3_10_Y=4,0.9820970658559766,True,1000
regionAndHour_1_3_11_Y=4,0.9966823220900487,True,1000
regionAndHour_1_3_12_Y=4,0.9935394531617219,True,1000
regionAndHour_1_3_13_Y=4,0.9992625117545034,True,1000
regionAndHour_1_3_14_Y=4,0.9929829785491477,True,1000
regionAndHour_1_3_15_Y=4,0.996890619663454,True,1000
regionAndHour_1_3_16_Y=4,0.996881753216238,True,1000
regionAndHour_1_3_17_Y=4,0.9778909931226181,True,1000
regionAndHour_1_3_18_Y=4,0.980298502305892,True,1000
regionAndHour_1_3_19_Y=4,0.9582018239398812,True,1000
regionAndHour_1_3_20_Y=4,0.9799844720750435,True,1000
regionAndHour_1_3_21_Y=4,0.9843818267844916,True,1000
regionAndHour_1_3_22_Y=4,0.9886563416729446,True,1000
regionAndHour_1_3_23_Y=4,0.9960828850176194,True,1000
regionAndHour_2_1_0_Y=4,0.9604864985750079,True,1000
regionAndHour_2_1_1_Y=4,0.9676727794724447,True,1000
regionAndHour_2_1_2_Y=4,0.9480692709448313,True,1000
regionAndHour_2_1_3_Y=4,0.9701636244031709,True,1000
regionAndHour_2_1_4_Y=4,0.9647165588317956,True,1000
regionAndHour_2_1_5_Y=4,0.972658143647602,True,1000
regionAndHour_2_1_6_Y=4,0.9773524958050618,True,1000
regionAndHour_2_1_7_Y=4,0.962089101844397,True,1000
regionAndHour_2_1_8_Y=4,0.9619961915932036,True,1000
regionAndHour_2_1_9_Y=4,0.9836008706650162,True,1000
regionAndHour_2_1_10_Y=4,0.9644731189995824,True,1000
regionAndHour_2_1_11_Y=4,0.9819051957344821,True,1000
regionAndHour_2_1_12_Y=4,0.95466797878666,True,1000
regionAndHour_2_1_13_Y=4,0.9585763406863143,True,1000
regionAndHour_2_1_14_Y=4,0.9817567573875227,True,1000
regionAndHour_2_1_15_Y=4,0.9756067386394397,True,1000
regionAndHour_2_1_16_Y=4,0.9779164524507097,True,1000
regionAndHour_2_1_17_Y=4,0.9783931336720417,True,1000
regionAndHour_2_1_18_Y=4,0.9783828840534722,True,1000
regionAndHour_2_1_19_Y=4,0.9560619400486955,True,1000
