Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
regionAndHour_2_2_0_Y=5,1.0,0.0,0.9999999785720173,True,1000
regionAndHour_2_2_1_Y=5,1.0,0.0,0.999111501216932,True,1000
regionAndHour_2_2_2_Y=5,1.0,0.0,0.9999864554854107,True,1000
regionAndHour_2_2_3_Y=5,1.0,0.0,0.9985857355996266,True,1000
regionAndHour_2_2_4_Y=5,1.0,0.0,0.9972600973616418,True,1000
regionAndHour_2_2_5_Y=5,1.0,0.0,0.9999959128427239,True,1000
regionAndHour_2_2_6_Y=5,1.0,0.0,0.9999909846113724,True,1000
regionAndHour_2_2_7_Y=5,1.0,0.0,0.9999964173923779,True,1000
regionAndHour_2_2_8_Y=5,1.0,0.0,0.997823994920439,True,1000
regionAndHour_2_2_9_Y=5,1.0,0.0,0.9994957544607868,True,1000
regionAndHour_2_2_10_Y=5,1.0,0.0,0.9992218939051707,True,1000
regionAndHour_2_2_11_Y=5,1.0,0.0,0.998575098731116,True,1000
regionAndHour_2_2_12_Y=5,1.0,0.0,0.9819630790389363,True,1000
regionAndHour_2_2_13_Y=5,1.0,0.0,0.999979065318,True,1000
regionAndHour_2_2_14_Y=5,1.0,0.0,0.9999198149415058,True,1000
regionAndHour_2_2_15_Y=5,1.0,0.0,0.9999760626160586,True,1000
regionAndHour_2_2_16_Y=5,1.0,0.0,0.9999968549734415,True,1000
regionAndHour_2_2_17_Y=5,1.0,0.0,0.999991747184463,True,1000
regionAndHour_2_2_18_Y=5,1.0,0.0,0.999988848517478,True,1000
regionAndHour_2_2_19_Y=5,1.0,0.0,0.9999422533939135,True,815
regionAndHour_2_2_20_Y=5,1.0,0.0,0.9996097289544819,True,697
regionAndHour_2_2_21_Y=5,1.0,0.0,0.9980444482406015,True,1000
regionAndHour_2_2_22_Y=5,1.0,0.0,0.9767946707749587,True,1000
regionAndHour_2_2_23_Y=5,1.0,0.0,0.999997276572207,True,1000
regionAndHour_2_3_0_Y=5,1.0,0.0,0.9999999999999758,True,1000
regionAndHour_2_3_1_Y=5,1.0,0.0,0.999999999920011,True,1000
regionAndHour_2_3_2_Y=5,1.0,0.0,0.9999999999982823,True,1000
regionAndHour_2_3_3_Y=5,1.0,0.0,0.9999999999999648,True,1000
regionAndHour_2_3_4_Y=5,1.0,0.0,0.9999999999978773,True,1000
regionAndHour_2_3_5_Y=5,1.0,0.0,0.9999999999623007,True,1000
regionAndHour_2_3_6_Y=5,1.0,0.0,0.9999999999292604,True,1000
regionAndHour_2_3_7_Y=5,1.0,0.0,0.9999999999999961,True,1000
regionAndHour_2_3_8_Y=5,1.0,0.0,0.9999999999999989,True,1000
regionAndHour_2_3_9_Y=5,1.0,0.0,0.9999999999998753,True,1000
regionAndHour_2_3_10_Y=5,1.0,0.0,0.9999999999999035,True,1000
regionAndHour_2_3_11_Y=5,1.0,0.0,0.9999999999823723,True,1000
regionAndHour_2_3_12_Y=5,1.0,0.0,0.9999999999940469,True,1000
regionAndHour_2_3_13_Y=5,1.0,0.0,0.999999998622215,True,1000
regionAndHour_2_3_14_Y=5,1.0,0.0,0.9999999999999479,True,1000
regionAndHour_2_3_15_Y=5,1.0,0.0,0.9999999997110907,True,1000
