Result of,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=2,1.0,0.0,0.9999999999999929,True,1000
speed_5_10_Y=2,1.0,0.0,1.0,True,1000
speed_10_15_Y=2,1.0,0.0,0.999999999831749,True,1000
speed_15_20_Y=2,1.0,0.0,0.9999999999569045,True,1000
speed_20_25_Y=2,1.0,0.0,0.9999997432422955,True,1000
speed_25_30_Y=2,1.0,0.0,0.9999906138466518,True,1000
speed_30_35_Y=2,1.0,0.0,0.9991976181084965,True,1000
speed_35_40_Y=2,1.0,0.0,0.9999129029171646,True,1000
speed_40_45_Y=2,1.0,0.0,0.9925897747719885,True,1000
speed_45_50_Y=2,1.0,0.0,0.999999997422331,True,1000
speed_50_55_Y=2,1.0,0.0,0.9999999999999994,True,1000
speed_55_60_Y=2,1.0,0.0,0.9999999999999861,True,1000
speed_60_65_Y=2,1.0,0.0,0.9999962712114904,True,1000
speed_65_70_Y=2,1.0,0.0,0.9999990824336893,True,1000
speed_70_75_Y=2,1.0,0.0,0.9984300640255708,True,1000
speed_75_80_Y=2,1.0,0.0,0.9899960753682763,True,1000
speed_80_85_Y=2,1.0,0.0,0.722691017428396,True,1000
speed_85_90_Y=2,0.6,0.4,0.20158078351157876,True,1000
speed_90_95_Y=2,0.5,0.5,0.12840276280894247,True,1000
speed_95_100_Y=2,0.9,0.1,0.2159279184332521,True,925
speed_100_105_Y=2,0.9,0.1,0.27753767734451595,True,547
speed_105_110_Y=2,0.8,0.2,0.42317208962665875,True,362
speed_110_115_Y=2,1.0,0.0,0.4624183932955662,True,264
speed_115_120_Y=2,1.0,0.0,0.5492710306009935,True,188
