Result,Proportion H0 True,Proportion H0 False,Average Pvalue,H0avr,Number of rows
speed_0_5_Y=2,1.0,0.0,0.9999999999786873,True,1000
speed_5_10_Y=2,1.0,0.0,0.9999913485532264,True,1000
speed_10_15_Y=2,1.0,0.0,0.9984829787685219,True,1000
speed_15_20_Y=2,1.0,0.0,0.9619252975201391,True,1000
speed_20_25_Y=2,1.0,0.0,0.8891370572589509,True,1000
speed_25_30_Y=2,1.0,0.0,0.6970857187955732,True,1000
speed_30_35_Y=2,0.7083333333333334,0.2916666666666667,0.25054034652958956,True,1000
speed_35_40_Y=2,0.4583333333333333,0.5416666666666666,0.0969751761507076,True,1000
speed_40_45_Y=2,0.20833333333333334,0.7916666666666666,0.026520227468300153,False,1000
speed_45_50_Y=2,0.0,1.0,0.0020941590318201767,False,1000
speed_50_55_Y=2,0.0,1.0,0.0002880032959919842,False,1000
speed_55_60_Y=2,0.0,1.0,0.00011176514380972271,False,1000
speed_60_65_Y=2,0.0,1.0,0.0003161185174272825,False,1000
speed_65_70_Y=2,0.0,1.0,0.00024280372571438297,False,1000
speed_70_75_Y=2,0.0,1.0,7.713587773612269e-05,False,1000
speed_75_80_Y=2,0.0,1.0,6.246959272636765e-05,False,1000
speed_80_85_Y=2,0.0,1.0,1.666744777331598e-05,False,1000
speed_85_90_Y=2,0.0,1.0,2.6118005691343585e-06,False,1000
speed_90_95_Y=2,0.0,1.0,2.3749832526189086e-09,False,1000
speed_95_100_Y=2,0.0,1.0,1.2632775039374739e-05,False,1000
speed_100_105_Y=2,0.0,1.0,6.560563575250788e-08,False,826
speed_105_110_Y=2,0.0,1.0,0.0003933337199702543,False,682
speed_110_115_Y=2,0.0,1.0,1.9925972024360914e-05,False,530
speed_115_120_Y=2,0.041666666666666664,0.9583333333333334,0.00817815755170589,False,427
